Participant,Item,Preview,Predictability,Condition,FFD,GD
y21ty,79,V,L,VL,NA,NA
y21ty,80,V,L,VL,285,285
y22ml,1,V,H,VH,NA,NA
y22ml,2,V,H,VH,355,355
y22ml,3,V,H,VH,285,285
y22ml,4,V,H,VH,366,366
y22ml,5,V,H,VH,NA,NA
y22ml,6,V,H,VH,156,156
y22ml,8,V,H,VH,222,222
y22ml,9,V,H,VH,194,194
y22ml,10,V,H,VH,NA,NA
y22ml,11,V,H,VH,273,273
y22ml,12,V,H,VH,241,241
y22ml,13,V,H,VH,NA,NA
y22ml,14,V,H,VH,265,265
y22ml,15,V,H,VH,270,270
y22ml,16,V,H,VH,281,281
y22ml,17,V,H,VH,239,239
y22ml,18,V,H,VH,NA,NA
y22ml,20,V,H,VH,221,221
y22ml,21,I,L,IL,295,295
y22ml,22,I,L,IL,NA,NA
y22ml,23,I,L,IL,299,299
y22ml,24,I,L,IL,270,270
y22ml,25,I,L,IL,141,141
y22ml,26,I,L,IL,334,334
y22ml,27,I,L,IL,292,292
y22ml,28,I,L,IL,NA,NA
y22ml,29,I,L,IL,256,607
y22ml,30,I,L,IL,285,285
y22ml,31,I,L,IL,261,261
y22ml,32,I,L,IL,285,285
y22ml,33,I,L,IL,254,254
y22ml,34,I,L,IL,240,240
y22ml,35,I,L,IL,374,374
y22ml,36,I,L,IL,291,291
y22ml,37,I,L,IL,189,189
y22ml,39,I,L,IL,NA,NA
y22ml,40,I,L,IL,188,188
y22ml,41,V,L,VL,308,308
y22ml,42,V,L,VL,259,259
y22ml,43,V,L,VL,177,177
y22ml,44,V,L,VL,556,556
y22ml,45,V,L,VL,NA,NA
y22ml,46,V,L,VL,NA,NA
y22ml,47,V,L,VL,257,257
y22ml,48,V,L,VL,199,199
y22ml,49,V,L,VL,NA,NA
y22ml,50,V,L,VL,240,240
y22ml,51,V,L,VL,NA,NA
y22ml,52,V,L,VL,NA,NA
y22ml,53,V,L,VL,NA,NA
y22ml,54,V,L,VL,NA,NA
y22ml,55,V,L,VL,382,382
y22ml,56,V,L,VL,306,306
y22ml,57,V,L,VL,324,324
y22ml,58,V,L,VL,NA,NA
y22ml,59,V,L,VL,NA,NA
y22ml,60,V,L,VL,317,317
y22ml,61,I,H,IH,361,361
y22ml,62,I,H,IH,203,203
y22ml,63,I,H,IH,332,332
y22ml,64,I,H,IH,341,341
y22ml,65,I,H,IH,241,241
y22ml,66,I,H,IH,414,414
y22ml,67,I,H,IH,652,652
y22ml,68,I,H,IH,196,196
y22ml,69,I,H,IH,182,182
y22ml,70,I,H,IH,271,271
y22ml,71,I,H,IH,399,399
y22ml,72,I,H,IH,320,320
y22ml,73,I,H,IH,417,417
y22ml,74,I,H,IH,242,242
y22ml,75,I,H,IH,280,280
y22ml,76,I,H,IH,NA,NA
y22ml,77,I,H,IH,NA,NA
y22ml,78,I,H,IH,365,365
y22ml,79,I,H,IH,348,348
y22ml,80,I,H,IH,525,525
y23lwj,3,I,L,IL,NA,NA
y23lwj,4,I,L,IL,NA,NA
y23lwj,8,I,L,IL,357,357
y23lwj,9,I,L,IL,NA,NA
y23lwj,10,I,L,IL,227,227
y23lwj,11,I,L,IL,NA,NA
y23lwj,12,I,L,IL,238,238
y23lwj,13,I,L,IL,NA,NA
y23lwj,17,I,L,IL,217,217
y23lwj,18,I,L,IL,276,276
y23lwj,19,I,L,IL,216,216
y23lwj,20,I,L,IL,NA,NA
y23lwj,26,V,L,VL,NA,NA
y23lwj,27,V,L,VL,NA,NA
y23lwj,32,V,L,VL,244,244
y23lwj,33,V,L,VL,NA,NA
y23lwj,35,V,L,VL,NA,NA
y23lwj,36,V,L,VL,NA,NA
y23lwj,37,V,L,VL,NA,NA
y23lwj,38,V,L,VL,NA,NA
y23lwj,39,V,L,VL,267,267
y23lwj,40,V,L,VL,NA,NA
y23lwj,42,I,H,IH,NA,NA
y23lwj,45,I,H,IH,300,300
y23lwj,47,I,H,IH,258,258
y23lwj,48,I,H,IH,NA,NA
y23lwj,49,I,H,IH,NA,NA
y23lwj,51,I,H,IH,NA,NA
y23lwj,52,I,H,IH,177,177
y23lwj,53,I,H,IH,196,196
y23lwj,54,I,H,IH,170,170
y23lwj,57,I,H,IH,NA,NA
y23lwj,58,I,H,IH,NA,NA
y23lwj,61,V,H,VH,NA,NA
y23lwj,63,V,H,VH,188,188
y23lwj,66,V,H,VH,256,256
y23lwj,67,V,H,VH,NA,NA
y23lwj,68,V,H,VH,NA,NA
y23lwj,69,V,H,VH,154,154
y23lwj,71,V,H,VH,NA,NA
y23lwj,73,V,H,VH,NA,NA
y23lwj,74,V,H,VH,NA,NA
y23lwj,76,V,H,VH,NA,NA
y23lwj,78,V,H,VH,NA,NA
y24wzx,1,V,L,VL,349,349
y24wzx,2,V,L,VL,359,359
y24wzx,3,V,L,VL,305,553
y24wzx,4,V,L,VL,355,355
y24wzx,5,V,L,VL,251,251
y24wzx,7,V,L,VL,256,256
y24wzx,8,V,L,VL,275,275
y24wzx,9,V,L,VL,196,196
y24wzx,11,V,L,VL,271,271
y24wzx,14,V,L,VL,357,357
y24wzx,15,V,L,VL,178,178
y24wzx,17,V,L,VL,279,279
y24wzx,18,V,L,VL,535,535
y24wzx,19,V,L,VL,207,207
y24wzx,20,V,L,VL,331,331
y24wzx,21,I,H,IH,340,340
y24wzx,23,I,H,IH,186,186
y24wzx,24,I,H,IH,219,479
y24wzx,25,I,H,IH,349,579
y24wzx,30,I,H,IH,335,335
y24wzx,31,I,H,IH,380,380
y24wzx,32,I,H,IH,321,321
y24wzx,33,I,H,IH,316,316
y24wzx,35,I,H,IH,368,368
y24wzx,36,I,H,IH,285,285
y24wzx,37,I,H,IH,369,668
y24wzx,38,I,H,IH,168,419
y24wzx,39,I,H,IH,227,542
y24wzx,40,I,H,IH,191,427
y24wzx,42,V,H,VH,255,255
y24wzx,43,V,H,VH,205,205
y24wzx,46,V,H,VH,NA,NA
y24wzx,47,V,H,VH,359,359
y24wzx,48,V,H,VH,191,191
y24wzx,49,V,H,VH,328,328
y24wzx,50,V,H,VH,272,272
y24wzx,51,V,H,VH,332,332
y24wzx,52,V,H,VH,224,224
y24wzx,53,V,H,VH,241,241
y24wzx,54,V,H,VH,208,208
y24wzx,55,V,H,VH,136,136
y24wzx,56,V,H,VH,305,305
y24wzx,57,V,H,VH,328,328
y24wzx,58,V,H,VH,298,298
y24wzx,59,V,H,VH,237,237
y24wzx,61,I,L,IL,230,492
y24wzx,62,I,L,IL,207,392
y24wzx,63,I,L,IL,242,444
y24wzx,64,I,L,IL,564,564
y24wzx,66,I,L,IL,289,289
y24wzx,67,I,L,IL,160,393
y24wzx,69,I,L,IL,245,592
y24wzx,70,I,L,IL,461,461
y24wzx,71,I,L,IL,357,357
y24wzx,72,I,L,IL,168,497
y24wzx,73,I,L,IL,349,544
y24wzx,74,I,L,IL,415,415
y24wzx,75,I,L,IL,254,524
y24wzx,78,I,L,IL,342,342
y24wzx,79,I,L,IL,212,393
y25cyl,1,I,H,IH,328,328
y25cyl,2,I,H,IH,298,298
y25cyl,3,I,H,IH,321,321
y25cyl,4,I,H,IH,412,412
y25cyl,6,I,H,IH,403,403
y25cyl,7,I,H,IH,401,401
y25cyl,8,I,H,IH,394,394
y25cyl,10,I,H,IH,415,415
y25cyl,11,I,H,IH,347,347
y25cyl,12,I,H,IH,198,198
y25cyl,13,I,H,IH,354,354
y25cyl,14,I,H,IH,278,278
y25cyl,16,I,H,IH,339,339
y25cyl,17,I,H,IH,305,499
y25cyl,18,I,H,IH,257,400
y25cyl,19,I,H,IH,322,322
y25cyl,20,I,H,IH,169,169
y25cyl,21,V,H,VH,313,313
y25cyl,22,V,H,VH,182,182
y25cyl,23,V,H,VH,NA,NA
y25cyl,24,V,H,VH,397,397
y25cyl,25,V,H,VH,272,272
y25cyl,26,V,H,VH,260,260
y25cyl,27,V,H,VH,483,483
y25cyl,28,V,H,VH,339,339
y25cyl,29,V,H,VH,227,227
y25cyl,30,V,H,VH,197,197
y25cyl,31,V,H,VH,425,425
y25cyl,32,V,H,VH,307,307
y25cyl,33,V,H,VH,319,319
y25cyl,34,V,H,VH,206,206
y25cyl,36,V,H,VH,238,440
y25cyl,37,V,H,VH,219,219
y25cyl,38,V,H,VH,301,301
y25cyl,39,V,H,VH,NA,NA
y25cyl,40,V,H,VH,389,497
y25cyl,41,I,L,IL,646,646
y25cyl,42,I,L,IL,344,344
y25cyl,43,I,L,IL,316,316
y25cyl,44,I,L,IL,428,428
y25cyl,45,I,L,IL,354,354
y25cyl,46,I,L,IL,466,466
y25cyl,47,I,L,IL,285,285
y25cyl,48,I,L,IL,380,380
y25cyl,49,I,L,IL,240,401
y25cyl,50,I,L,IL,319,319
y25cyl,51,I,L,IL,357,357
y25cyl,53,I,L,IL,399,399
y25cyl,54,I,L,IL,237,237
y25cyl,55,I,L,IL,441,441
y25cyl,56,I,L,IL,705,705
y25cyl,57,I,L,IL,587,587
y25cyl,58,I,L,IL,323,323
y25cyl,59,I,L,IL,294,294
y25cyl,60,I,L,IL,527,527
y25cyl,61,V,L,VL,217,217
y25cyl,62,V,L,VL,444,444
y25cyl,63,V,L,VL,218,218
y25cyl,64,V,L,VL,382,382
y25cyl,65,V,L,VL,321,321
y25cyl,66,V,L,VL,260,260
y25cyl,67,V,L,VL,315,315
y25cyl,69,V,L,VL,213,213
y25cyl,72,V,L,VL,494,494
y25cyl,73,V,L,VL,180,180
y25cyl,74,V,L,VL,NA,NA
y25cyl,75,V,L,VL,616,616
y25cyl,76,V,L,VL,210,210
y25cyl,77,V,L,VL,274,274
y25cyl,78,V,L,VL,227,227
y25cyl,79,V,L,VL,305,305
y25cyl,80,V,L,VL,NA,NA
y26ys,1,V,H,VH,162,162
y26ys,2,V,H,VH,NA,NA
y26ys,3,V,H,VH,NA,NA
y26ys,4,V,H,VH,208,208
y26ys,5,V,H,VH,NA,NA
y26ys,7,V,H,VH,156,156
y26ys,9,V,H,VH,102,102
y26ys,10,V,H,VH,NA,NA
y26ys,11,V,H,VH,144,144
y26ys,12,V,H,VH,296,296
y26ys,14,V,H,VH,170,170
y26ys,15,V,H,VH,NA,NA
y26ys,16,V,H,VH,245,245
y26ys,18,V,H,VH,218,218
y26ys,19,V,H,VH,NA,NA
y26ys,20,V,H,VH,NA,NA
y26ys,22,I,L,IL,232,232
y26ys,23,I,L,IL,168,168
y26ys,25,I,L,IL,258,258
y26ys,26,I,L,IL,215,215
y26ys,28,I,L,IL,212,212
y26ys,29,I,L,IL,NA,NA
y26ys,30,I,L,IL,121,121
y26ys,31,I,L,IL,158,158
y26ys,32,I,L,IL,279,279
y26ys,33,I,L,IL,NA,NA
y26ys,36,I,L,IL,219,219
y26ys,37,I,L,IL,132,132
y26ys,38,I,L,IL,NA,NA
y26ys,39,I,L,IL,209,209
y26ys,40,I,L,IL,223,223
y26ys,42,V,L,VL,NA,NA
y26ys,43,V,L,VL,173,173
y26ys,44,V,L,VL,NA,NA
y26ys,45,V,L,VL,177,177
y26ys,46,V,L,VL,NA,NA
y26ys,48,V,L,VL,NA,NA
y26ys,49,V,L,VL,176,176
y26ys,50,V,L,VL,205,205
y26ys,51,V,L,VL,151,151
y26ys,52,V,L,VL,197,197
y26ys,55,V,L,VL,133,133
y26ys,56,V,L,VL,237,237
y26ys,57,V,L,VL,NA,NA
y26ys,58,V,L,VL,NA,NA
y26ys,60,V,L,VL,146,146
y26ys,61,I,H,IH,158,158
y26ys,62,I,H,IH,NA,NA
y26ys,63,I,H,IH,415,415
y26ys,64,I,H,IH,NA,NA
y26ys,65,I,H,IH,NA,NA
y26ys,66,I,H,IH,176,176
y26ys,67,I,H,IH,147,147
y26ys,68,I,H,IH,342,342
y26ys,70,I,H,IH,NA,NA
y26ys,72,I,H,IH,210,210
y26ys,73,I,H,IH,107,107
y26ys,74,I,H,IH,301,301
y26ys,75,I,H,IH,NA,NA
y26ys,77,I,H,IH,NA,NA
y26ys,78,I,H,IH,NA,NA
y26ys,79,I,H,IH,NA,NA
y28wyl,2,V,L,VL,194,194
y28wyl,3,V,L,VL,NA,NA
y28wyl,4,V,L,VL,360,360
y28wyl,5,V,L,VL,311,311
y28wyl,6,V,L,VL,202,202
y28wyl,7,V,L,VL,390,390
y28wyl,8,V,L,VL,248,248
y28wyl,9,V,L,VL,190,190
y28wyl,10,V,L,VL,249,249
y28wyl,11,V,L,VL,244,244
y28wyl,12,V,L,VL,281,281
y28wyl,13,V,L,VL,282,282
y28wyl,14,V,L,VL,162,162
y28wyl,15,V,L,VL,235,235
y28wyl,16,V,L,VL,206,206
y28wyl,17,V,L,VL,202,202
y28wyl,18,V,L,VL,339,339
y28wyl,19,V,L,VL,281,281
y28wyl,20,V,L,VL,206,206
y28wyl,22,I,H,IH,402,701
y28wyl,23,I,H,IH,266,266
y28wyl,24,I,H,IH,271,271
y28wyl,25,I,H,IH,434,434
y28wyl,26,I,H,IH,142,558
y28wyl,27,I,H,IH,299,299
y28wyl,28,I,H,IH,261,261
y28wyl,29,I,H,IH,262,262
y28wyl,30,I,H,IH,294,294
y28wyl,31,I,H,IH,252,252
y28wyl,32,I,H,IH,187,629
y28wyl,33,I,H,IH,NA,NA
y28wyl,34,I,H,IH,305,305
y28wyl,35,I,H,IH,162,271
y28wyl,36,I,H,IH,345,345
y28wyl,37,I,H,IH,180,378
y28wyl,39,I,H,IH,555,555
y28wyl,40,I,H,IH,269,269
y28wyl,41,V,H,VH,413,413
y28wyl,42,V,H,VH,272,272
y28wyl,43,V,H,VH,223,223
y28wyl,44,V,H,VH,254,254
y28wyl,45,V,H,VH,190,190
y28wyl,46,V,H,VH,NA,NA
y28wyl,47,V,H,VH,201,201
y28wyl,48,V,H,VH,191,191
y28wyl,49,V,H,VH,NA,NA
y28wyl,50,V,H,VH,NA,NA
y28wyl,52,V,H,VH,256,256
y28wyl,53,V,H,VH,211,211
y28wyl,54,V,H,VH,NA,NA
y28wyl,55,V,H,VH,290,290
y28wyl,56,V,H,VH,326,326
y28wyl,57,V,H,VH,288,288
y28wyl,59,V,H,VH,281,281
y28wyl,60,V,H,VH,259,259
y28wyl,61,I,L,IL,312,312
y28wyl,62,I,L,IL,464,464
y28wyl,63,I,L,IL,435,654
y28wyl,64,I,L,IL,147,432
y28wyl,66,I,L,IL,292,292
y28wyl,68,I,L,IL,184,184
y28wyl,69,I,L,IL,288,288
y28wyl,70,I,L,IL,242,242
y28wyl,71,I,L,IL,319,319
y28wyl,72,I,L,IL,316,316
y28wyl,73,I,L,IL,320,320
y28wyl,74,I,L,IL,179,329
y28wyl,75,I,L,IL,317,317
y28wyl,76,I,L,IL,324,324
y28wyl,77,I,L,IL,880,880
y28wyl,78,I,L,IL,226,226
y28wyl,79,I,L,IL,544,544
y28wyl,80,I,L,IL,327,327
y29hxl,1,I,H,IH,331,331
y29hxl,2,I,H,IH,175,471
y29hxl,4,I,H,IH,387,387
y29hxl,5,I,H,IH,327,527
y29hxl,9,I,H,IH,304,304
y29hxl,12,I,H,IH,231,231
y29hxl,13,I,H,IH,NA,NA
y29hxl,14,I,H,IH,320,320
y29hxl,15,I,H,IH,350,350
y29hxl,16,I,H,IH,447,447
y29hxl,17,I,H,IH,248,248
y29hxl,18,I,H,IH,303,303
y29hxl,19,I,H,IH,288,288
y29hxl,20,I,H,IH,NA,NA
y29hxl,21,V,H,VH,165,165
y29hxl,22,V,H,VH,158,158
y29hxl,23,V,H,VH,193,193
y29hxl,24,V,H,VH,NA,NA
y29hxl,25,V,H,VH,176,176
y29hxl,27,V,H,VH,153,153
y29hxl,28,V,H,VH,NA,NA
y29hxl,29,V,H,VH,NA,NA
y29hxl,30,V,H,VH,114,114
y29hxl,31,V,H,VH,199,199
y29hxl,33,V,H,VH,NA,NA
y29hxl,37,V,H,VH,211,211
y29hxl,38,V,H,VH,177,177
y29hxl,39,V,H,VH,NA,NA
y29hxl,40,V,H,VH,188,188
y29hxl,42,I,L,IL,372,372
y29hxl,43,I,L,IL,365,365
y29hxl,44,I,L,IL,NA,NA
y29hxl,45,I,L,IL,NA,NA
y29hxl,47,I,L,IL,209,209
y29hxl,48,I,L,IL,NA,NA
y29hxl,49,I,L,IL,336,336
y29hxl,50,I,L,IL,285,285
y29hxl,51,I,L,IL,271,271
y29hxl,52,I,L,IL,NA,NA
y29hxl,53,I,L,IL,NA,NA
y29hxl,54,I,L,IL,NA,NA
y29hxl,55,I,L,IL,477,477
y29hxl,56,I,L,IL,359,359
y29hxl,58,I,L,IL,148,148
y29hxl,59,I,L,IL,455,610
y29hxl,60,I,L,IL,173,173
y29hxl,61,V,L,VL,162,162
y29hxl,62,V,L,VL,NA,NA
y29hxl,63,V,L,VL,205,205
y29hxl,64,V,L,VL,151,151
y29hxl,65,V,L,VL,NA,NA
y29hxl,66,V,L,VL,NA,NA
y29hxl,67,V,L,VL,226,226
y29hxl,68,V,L,VL,211,211
y29hxl,69,V,L,VL,381,381
y29hxl,70,V,L,VL,170,170
y29hxl,72,V,L,VL,185,185
y29hxl,74,V,L,VL,156,156
y29hxl,75,V,L,VL,392,392
y29hxl,77,V,L,VL,221,221
y29hxl,78,V,L,VL,NA,NA
y29hxl,79,V,L,VL,255,255
y29hxl,80,V,L,VL,263,263
y3,3,I,L,IL,NA,NA
y3,4,I,L,IL,260,260
y3,7,I,L,IL,168,168
y3,8,I,L,IL,283,283
y3,10,I,L,IL,162,162
y3,12,I,L,IL,189,189
y3,13,I,L,IL,254,254
y3,14,I,L,IL,148,148
y3,16,I,L,IL,266,266
y3,17,I,L,IL,NA,NA
y3,18,I,L,IL,237,237
y3,19,I,L,IL,463,463
y3,20,I,L,IL,173,173
y3,22,V,L,VL,NA,NA
y3,23,V,L,VL,146,146
y3,24,V,L,VL,246,246
y3,25,V,L,VL,NA,NA
y3,26,V,L,VL,NA,NA
y3,27,V,L,VL,NA,NA
y3,28,V,L,VL,NA,NA
y3,30,V,L,VL,NA,NA
y3,31,V,L,VL,NA,NA
y3,32,V,L,VL,108,108
y3,33,V,L,VL,NA,NA
y3,34,V,L,VL,221,221
y3,35,V,L,VL,NA,NA
y3,36,V,L,VL,182,182
y3,38,V,L,VL,NA,NA
y3,43,I,H,IH,275,275
y3,44,I,H,IH,344,344
y3,46,I,H,IH,345,345
y3,48,I,H,IH,NA,NA
y3,49,I,H,IH,NA,NA
y3,50,I,H,IH,244,244
y3,51,I,H,IH,284,284
y3,54,I,H,IH,NA,NA
y3,55,I,H,IH,333,333
y3,56,I,H,IH,254,254
y3,57,I,H,IH,NA,NA
y3,58,I,H,IH,209,209
y3,60,I,H,IH,NA,NA
y3,61,V,H,VH,NA,NA
y3,62,V,H,VH,168,168
y3,63,V,H,VH,NA,NA
y3,65,V,H,VH,NA,NA
y3,66,V,H,VH,255,255
y3,67,V,H,VH,165,165
y3,68,V,H,VH,172,172
y3,69,V,H,VH,273,273
y3,70,V,H,VH,NA,NA
y3,71,V,H,VH,NA,NA
y3,72,V,H,VH,NA,NA
y3,73,V,H,VH,411,411
y3,74,V,H,VH,NA,NA
y3,76,V,H,VH,222,222
y3,78,V,H,VH,157,157
y3,79,V,H,VH,154,154
y30zsy,1,V,H,VH,193,193
y30zsy,3,V,H,VH,NA,NA
y30zsy,4,V,H,VH,214,214
y30zsy,5,V,H,VH,NA,NA
y30zsy,6,V,H,VH,NA,NA
y30zsy,7,V,H,VH,NA,NA
y30zsy,8,V,H,VH,226,226
y30zsy,10,V,H,VH,NA,NA
y30zsy,11,V,H,VH,154,154
y30zsy,12,V,H,VH,NA,NA
y30zsy,13,V,H,VH,198,198
y30zsy,14,V,H,VH,150,150
y30zsy,15,V,H,VH,183,183
y30zsy,17,V,H,VH,NA,NA
y30zsy,18,V,H,VH,154,154
y30zsy,19,V,H,VH,NA,NA
y30zsy,21,I,L,IL,308,399
y30zsy,22,I,L,IL,NA,NA
y30zsy,23,I,L,IL,208,208
y30zsy,25,I,L,IL,164,164
y30zsy,26,I,L,IL,NA,NA
y30zsy,27,I,L,IL,154,154
y30zsy,28,I,L,IL,204,204
y30zsy,29,I,L,IL,169,371
y30zsy,30,I,L,IL,NA,NA
y30zsy,31,I,L,IL,NA,NA
y30zsy,32,I,L,IL,NA,NA
y30zsy,33,I,L,IL,NA,NA
y30zsy,34,I,L,IL,261,261
y30zsy,35,I,L,IL,144,144
y30zsy,36,I,L,IL,177,177
y30zsy,37,I,L,IL,180,180
y30zsy,38,I,L,IL,241,241
y30zsy,39,I,L,IL,306,490
y30zsy,40,I,L,IL,NA,NA
y30zsy,41,V,L,VL,119,119
y30zsy,42,V,L,VL,247,247
y30zsy,43,V,L,VL,NA,NA
y30zsy,44,V,L,VL,181,181
y30zsy,45,V,L,VL,NA,NA
y30zsy,46,V,L,VL,238,238
y30zsy,48,V,L,VL,NA,NA
y30zsy,49,V,L,VL,NA,NA
y30zsy,50,V,L,VL,NA,NA
y30zsy,51,V,L,VL,NA,NA
y30zsy,52,V,L,VL,NA,NA
y30zsy,53,V,L,VL,177,177
y30zsy,55,V,L,VL,204,323
y30zsy,56,V,L,VL,163,163
y30zsy,58,V,L,VL,261,261
y30zsy,59,V,L,VL,NA,NA
y30zsy,60,V,L,VL,NA,NA
y30zsy,62,I,H,IH,NA,NA
y30zsy,63,I,H,IH,NA,NA
y30zsy,64,I,H,IH,109,109
y30zsy,65,I,H,IH,207,353
y30zsy,66,I,H,IH,243,243
y30zsy,67,I,H,IH,193,193
y30zsy,68,I,H,IH,291,291
y30zsy,69,I,H,IH,304,304
y30zsy,71,I,H,IH,416,416
y30zsy,72,I,H,IH,NA,NA
y30zsy,73,I,H,IH,161,495
y30zsy,74,I,H,IH,NA,NA
y30zsy,75,I,H,IH,170,170
y30zsy,77,I,H,IH,153,153
y30zsy,78,I,H,IH,181,181
y30zsy,79,I,H,IH,182,538
y30zsy,80,I,H,IH,NA,NA
y31wy,1,I,L,IL,300,300
y31wy,3,I,L,IL,176,176
y31wy,4,I,L,IL,312,312
y31wy,6,I,L,IL,344,344
y31wy,8,I,L,IL,242,242
y31wy,10,I,L,IL,435,435
y31wy,11,I,L,IL,343,343
y31wy,12,I,L,IL,191,191
y31wy,14,I,L,IL,137,137
y31wy,15,I,L,IL,223,223
y31wy,16,I,L,IL,349,349
y31wy,17,I,L,IL,366,366
y31wy,18,I,L,IL,252,252
y31wy,19,I,L,IL,307,307
y31wy,20,I,L,IL,NA,NA
y31wy,21,V,L,VL,185,185
y31wy,22,V,L,VL,273,273
y31wy,23,V,L,VL,277,277
y31wy,24,V,L,VL,167,167
y31wy,25,V,L,VL,247,247
y31wy,27,V,L,VL,NA,NA
y31wy,28,V,L,VL,NA,NA
y31wy,29,V,L,VL,250,250
y31wy,32,V,L,VL,NA,NA
y31wy,33,V,L,VL,199,199
y31wy,34,V,L,VL,195,195
y31wy,35,V,L,VL,180,180
y31wy,36,V,L,VL,NA,NA
y31wy,37,V,L,VL,276,276
y31wy,40,V,L,VL,194,194
y31wy,41,I,H,IH,334,334
y31wy,42,I,H,IH,394,394
y31wy,43,I,H,IH,363,363
y31wy,44,I,H,IH,194,194
y31wy,45,I,H,IH,159,159
y31wy,48,I,H,IH,245,245
y31wy,49,I,H,IH,227,227
y31wy,50,I,H,IH,274,274
y31wy,51,I,H,IH,235,235
y31wy,52,I,H,IH,222,222
y31wy,53,I,H,IH,204,204
y31wy,54,I,H,IH,243,243
y31wy,55,I,H,IH,410,410
y31wy,57,I,H,IH,NA,NA
y31wy,58,I,H,IH,282,282
y31wy,61,V,H,VH,175,175
y31wy,62,V,H,VH,268,268
y31wy,63,V,H,VH,318,318
y31wy,65,V,H,VH,NA,NA
y31wy,66,V,H,VH,255,255
y31wy,67,V,H,VH,216,216
y31wy,68,V,H,VH,165,165
y31wy,69,V,H,VH,162,162
y31wy,72,V,H,VH,280,280
y31wy,73,V,H,VH,156,156
y31wy,74,V,H,VH,308,308
y31wy,75,V,H,VH,275,275
y31wy,76,V,H,VH,260,260
y31wy,77,V,H,VH,NA,NA
y31wy,78,V,H,VH,NA,NA
y31wy,79,V,H,VH,NA,NA
y31wy,80,V,H,VH,160,160
y32mzx,1,V,L,VL,266,266
y32mzx,2,V,L,VL,397,397
y32mzx,3,V,L,VL,NA,NA
y32mzx,4,V,L,VL,338,338
y32mzx,6,V,L,VL,NA,NA
y32mzx,7,V,L,VL,287,287
y32mzx,8,V,L,VL,NA,NA
y32mzx,9,V,L,VL,243,243
y32mzx,10,V,L,VL,194,194
y32mzx,11,V,L,VL,NA,NA
y32mzx,12,V,L,VL,NA,NA
y32mzx,13,V,L,VL,368,368
y32mzx,14,V,L,VL,NA,NA
y32mzx,15,V,L,VL,NA,NA
y32mzx,16,V,L,VL,264,264
y32mzx,17,V,L,VL,295,295
y32mzx,18,V,L,VL,172,172
y32mzx,19,V,L,VL,284,284
y32mzx,20,V,L,VL,238,238
y32mzx,21,I,H,IH,NA,NA
y32mzx,22,I,H,IH,388,388
y32mzx,23,I,H,IH,270,270
y32mzx,24,I,H,IH,343,343
y32mzx,26,I,H,IH,226,226
y32mzx,29,I,H,IH,108,248
y32mzx,30,I,H,IH,358,358
y32mzx,31,I,H,IH,304,304
y32mzx,32,I,H,IH,268,268
y32mzx,33,I,H,IH,284,284
y32mzx,35,I,H,IH,189,189
y32mzx,36,I,H,IH,515,515
y32mzx,37,I,H,IH,285,285
y32mzx,38,I,H,IH,NA,NA
y32mzx,39,I,H,IH,324,324
y32mzx,40,I,H,IH,366,366
y32mzx,41,V,H,VH,239,239
y32mzx,42,V,H,VH,284,284
y32mzx,43,V,H,VH,188,188
y32mzx,45,V,H,VH,NA,NA
y32mzx,48,V,H,VH,219,219
y32mzx,49,V,H,VH,NA,NA
y32mzx,50,V,H,VH,230,230
y32mzx,51,V,H,VH,182,182
y32mzx,52,V,H,VH,NA,NA
y32mzx,53,V,H,VH,206,206
y32mzx,54,V,H,VH,NA,NA
y32mzx,55,V,H,VH,NA,NA
y32mzx,56,V,H,VH,200,200
y32mzx,57,V,H,VH,442,442
y32mzx,58,V,H,VH,NA,NA
y32mzx,59,V,H,VH,196,196
y32mzx,60,V,H,VH,220,220
y32mzx,61,I,L,IL,405,405
y32mzx,62,I,L,IL,429,429
y32mzx,63,I,L,IL,423,423
y32mzx,64,I,L,IL,498,498
y32mzx,65,I,L,IL,282,282
y32mzx,66,I,L,IL,396,396
y32mzx,67,I,L,IL,NA,NA
y32mzx,68,I,L,IL,NA,NA
y32mzx,69,I,L,IL,335,335
y32mzx,71,I,L,IL,310,310
y32mzx,72,I,L,IL,254,425
y32mzx,73,I,L,IL,203,203
y32mzx,74,I,L,IL,NA,NA
y32mzx,75,I,L,IL,NA,NA
y32mzx,76,I,L,IL,293,293
y32mzx,77,I,L,IL,371,618
y32mzx,78,I,L,IL,414,414
y32mzx,79,I,L,IL,430,430
y32mzx,80,I,L,IL,367,367
y33dxy,1,I,H,IH,310,310
y33dxy,3,I,H,IH,NA,NA
y33dxy,6,I,H,IH,275,275
y33dxy,7,I,H,IH,301,301
y33dxy,9,I,H,IH,243,243
y33dxy,10,I,H,IH,280,396
y33dxy,11,I,H,IH,NA,NA
y33dxy,13,I,H,IH,NA,NA
y33dxy,14,I,H,IH,183,183
y33dxy,15,I,H,IH,NA,NA
y33dxy,16,I,H,IH,232,232
y33dxy,17,I,H,IH,287,287
y33dxy,19,I,H,IH,257,443
y33dxy,20,I,H,IH,NA,NA
y33dxy,21,V,H,VH,NA,NA
y33dxy,22,V,H,VH,NA,NA
y33dxy,23,V,H,VH,NA,NA
y33dxy,24,V,H,VH,NA,NA
y33dxy,25,V,H,VH,245,245
y33dxy,26,V,H,VH,267,526
y33dxy,28,V,H,VH,NA,NA
y33dxy,29,V,H,VH,NA,NA
