Participant,Item,Preview,Predictability,Condition,FFD,GD
y11,68,V,H,VH,282,282
y11,69,V,H,VH,223,223
y11,70,V,H,VH,166,166
y11,71,V,H,VH,244,244
y11,72,V,H,VH,295,295
y11,73,V,H,VH,200,200
y11,74,V,H,VH,282,385
y11,75,V,H,VH,277,277
y11,76,V,H,VH,337,337
y11,77,V,H,VH,475,475
y11,78,V,H,VH,187,187
y11,80,V,H,VH,230,230
y12kth,1,V,L,VL,450,450
y12kth,3,V,L,VL,NA,NA
y12kth,4,V,L,VL,305,632
y12kth,8,V,L,VL,310,310
y12kth,10,V,L,VL,211,211
y12kth,11,V,L,VL,NA,NA
y12kth,12,V,L,VL,203,203
y12kth,14,V,L,VL,NA,NA
y12kth,15,V,L,VL,155,155
y12kth,16,V,L,VL,NA,NA
y12kth,17,V,L,VL,155,155
y12kth,18,V,L,VL,337,337
y12kth,19,V,L,VL,172,172
y12kth,20,V,L,VL,NA,NA
y12kth,21,I,H,IH,217,217
y12kth,22,I,H,IH,401,401
y12kth,23,I,H,IH,326,326
y12kth,24,I,H,IH,202,441
y12kth,25,I,H,IH,414,414
y12kth,26,I,H,IH,270,270
y12kth,27,I,H,IH,303,303
y12kth,28,I,H,IH,203,203
y12kth,29,I,H,IH,NA,NA
y12kth,30,I,H,IH,214,214
y12kth,31,I,H,IH,NA,NA
y12kth,32,I,H,IH,166,456
y12kth,33,I,H,IH,264,264
y12kth,35,I,H,IH,358,358
y12kth,36,I,H,IH,NA,NA
y12kth,37,I,H,IH,240,450
y12kth,38,I,H,IH,257,257
y12kth,39,I,H,IH,330,330
y12kth,40,I,H,IH,NA,NA
y12kth,41,V,H,VH,199,199
y12kth,42,V,H,VH,182,182
y12kth,43,V,H,VH,248,248
y12kth,44,V,H,VH,NA,NA
y12kth,46,V,H,VH,NA,NA
y12kth,48,V,H,VH,NA,NA
y12kth,49,V,H,VH,NA,NA
y12kth,50,V,H,VH,279,279
y12kth,52,V,H,VH,NA,NA
y12kth,53,V,H,VH,148,148
y12kth,54,V,H,VH,162,162
y12kth,55,V,H,VH,NA,NA
y12kth,56,V,H,VH,319,319
y12kth,57,V,H,VH,NA,NA
y12kth,58,V,H,VH,NA,NA
y12kth,59,V,H,VH,192,192
y12kth,60,V,H,VH,211,211
y12kth,61,I,L,IL,459,459
y12kth,62,I,L,IL,229,229
y12kth,63,I,L,IL,NA,NA
y12kth,64,I,L,IL,399,399
y12kth,65,I,L,IL,368,368
y12kth,66,I,L,IL,367,367
y12kth,67,I,L,IL,233,409
y12kth,68,I,L,IL,237,237
y12kth,71,I,L,IL,274,274
y12kth,72,I,L,IL,340,340
